Name,High School Attended,Hometown,Position,Rating
Josh Johns,Central High School,"Baton Rouge, LA",#76 S,77
Blake Slaughter,Lawrence E. Elkins High School,"Missouri City, TX",OLB(LQ),77
Tomasi Mariner,Washburn Rural High School,"Topeka, KS",#42 OG,77
Jacques Washington,Owasso High School,"Owasso, OK",#78 ATH,77
James White,Skyline High School,"Dallas, TX",#75 RB,77
Deon Broomfield,Bayside High School,"Palm Bay, FL",#69 S,77
Aaron Moore,Centennial High School,"Frisco, TX",#41 OT,77
Kyle Lichtenberg,Bettendorf High School,"Bettendorf, IA",#45 OT,77
Ted  Bolser,Indian Hill High School,"Cincinnati, OH",#34 TE,77
Lance Richardson,Ware Shoals High School,"Ware Shoals, SC",#50 S,77
Euclid Cummings,Centennial High School,"Roswell, GA",#66 DE,77
Raymond Beno,Newnan High School,"Newnan, GA",#54 OG,77
Jemea Thomas,Fitzgerald High School,"Fitzgerald, GA",#47 S,77
Brandon Watts,Washington County High School,"Sandersville, GA",#50 OLB,77
Lars Bramer,Buchanan High School,"Clovis, CA",#46 OT,77
Travis Brown,Clovis West High School,"Fresno, CA",#21 ILB,77
Xavier Rhodes,Miami Norland High School,"Miami, FL",#61 WR,77
Terrance  Taylor,Archbishop Carroll High School,"Miami, FL",#65 S,77
Garett Patterson,Monacan High School,"Richmond, VA",#82 S,77
Shamari Benton,Brother Rice High School,"Bloomfield Hills, MI",#71 S,77
Bobby James,Hobart Senior High School,"Hobart, IN",#39 TE,77
Leron Eaddy,River Hill High School,"Clarksville, MD",#55 S,77
Brad Wilcox,Edmond North High School,"Edmond, OK",#39 OT,77
Andre Lawrence,Hartford Public High School,"Hartford, CT",#63 OLB,77
Gabe Linehan,Banks High School,"Banks, OR",#84 ATH,77
Trevor  Peterson,El Dorado Union High School,"Placerville, CA",#37 TE,77
Michael Adams,Riverdale High School,"Riverdale, GA",#71 ATH,77
Ivory Wade,Dickinson High School,"Dickinson, TX",#35 OT,77
Willie Jefferson,Ozen High School,"Beaumont, TX",#63 WR,77
Travis Freeman,Glenville High School,"Cleveland, OH",#53 S,77
Emory Blake,S. F. Austin High School,"Austin, TX",#73 WR,77
Nosa Eguae,Summit High School,"Mansfield, TX",#63 DE,77
Daren Bates,Olive Branch High School,"Olive Branch, MS",#59 S,77
Jonathan Evans,M. T. Blount High School,"Prichard, AL",#52 OLB,77
Izauea Lanier,Gordo High School,"Gordo, AL",#73 ATH,77
Brandon Jacobs,Parkview High School,"Lilburn, GA",#80 RB,77
Phillip Butterfield,Lake Hamilton High School,"Hot Springs, AR",#36 QB,77
Matt Tucker,Grandview High School,"Aurora, CO",#69 ATH,77
Anthony Rose,Marcos De Niza High School,"Tempe, AZ",#49 OLB,77
Fritz Rock,Wayzata High School,"Plymouth, MN",#60 WR,77
Lester White,John W. North High School,"Riverside, CA",#56 S,77
Jabari Carr,Oak Grove High School,"San Jose, CA",#81 S,77
Jacob Arnold,Plainfield High School,"Plainfield, IL",#78 RB,77
Bryce Lamb,Chandler High School,"Chandler, AZ",#68 RB,77
Skyler Roberts,Findlay High School,"Findlay, OH",#17 K,77
Alex Owah,Harrisonburg High School,"Harrisonburg, VA",#62 RB,77
Quinn McClendon,Sumter High School,"Sumter, SC",#60 OLB,77
Hunter Poole,Lincoln High School,"Lincoln, FL",#55 OG,77
Zach Keenan,Marquette Catholic High School,"Alton, IL",#22 K,77
Zach Kane,Milford Academy,"Toms River, NJ",ILB(POST),77
Darnell Taylor,Mesquite High School,"Mesquite, TX",#82 S,77
Earnest Norman,Trinity High School,"Euless, TX",#30 ILB,77
Emmanuel Lartey,Benjamin E. Banneker High School,"College Park, GA",#32 CB,77
Korbin Smith,Delta Senior High School,"Delta, OH",#20 K,77
Abrecus Martinez,Rayville High School,"Rayville, LA",#68 WR,77
Hersey Jackson,Allendale High School,"Allendale, MI",#72 RB,77
Joshua  Brown,Lancaster High School,"Lancaster, TX",#48 S,77
Ronald McCrory,Chaminade College Prep School,"West Hills, CA",#55 WR,77
Greg Peterson,Waukesha West High School,"Waukesha, WI",#70 OT,76
Courtney Dalcourt,Franklin-Simpson High School,"Franklin, KY",#43 QB,76
Dominik Davenport,Phoebus High School,"Hampton, VA",#53 DT,76
Nick Kindler,Trinity High School,"Camp Hill, PA",#67 OT,76
Darwin Cook,Shaw High School,"East Cleveland, OH",#89 S,76
Chris Snook,Highland High School,"Medina, OH",#73 OLB,76
Darren Markle,Mountain View High School,"Meridian, ID",#35 ILB,76
Nolan Washington,John F. Kennedy High School,"Burien, WA",#94 ATH,76
Sebastian Valenzuela,Burroughs High School,"Burbank, CA",#60 OG,76
Devin Bolling,Brookville High School,"Lynchburg, VA",#69 OT,76
Michael Campanaro,River Hill High School,"Clarksville, MD",#88 ATH,76
Tommy Bohanon,North Fort Myers High School,"North Fort Myers, FL",#11 FB,76
Tyrell  Edwards,Marlboro County High School,"Bennettsville, SC",#100 ATH,76
DeAntre Rhodes,Varina High School,"Richmond, VA",#55 DT,76
Michael Giresi,Westerville Central High School,"Westerville, OH",#102 S,76
Blake Southerland,Greater Atlanta Christian School,"Norcross, GA",#40 ILB,76
Zac  Stacy,Bibb County High School,"Centerville, AL",#98 RB,76
Jeff Duckworth,Princeton High School,"Cincinnati, OH",#102 WR,76
Travis Frederick,Big Foot High School,"Walworth, WI",#63 OT,76
Zac Matthias,Hemlock High School,"Hemlock, MI",#87 OG,76
Kevin Royal,Brunswick School,"Greenwich, CT",#96 WR,76
Dominique Wallace,Chancellor High School,"Fredericksburg, VA",#84 RB,76
Laroy Reynolds,Maury High School,"Norfolk, VA",#116 S,76
Bobby Smith,Varina High School,"Richmond, VA",#94 WR,76
Jordan Wynn,Oceanside High School,"Oceanside, CA",#41 QB,76
LT Filiaga,Bingham High School,"South Jordan, UT",#39 ILB,76
Latu Heimuli,Highland High School,"Salt Lake City, UT",#60 DT,76
Chris Washington,Northridge High School,"Layton, UT",#93 S,76
Justin Skillens,Booker T. Washington High School,"Tulsa, OK",#49 CB,76
Brian DeShane,Tulsa Union High School,"Tulsa, OK",#92 OG,76
Ricky Johnson,Carencro High School,"Lafayette, LA",#98 ATH,76
Eric Page,Springfield Local High School,"Holland, OH",#93 ATH,76
Jermaine Robinson,Milford Academy,"Pittsburgh, PA",S(POST),76
Jerel Watkins,Channelview High School,"Channelview, TX",#76 OG,76
Dominique Jones,Kilgore High School,"Kilgore, TX",#68 DE,76
Marlon Anthony,Kell High School,"Marietta, GA",#88 WR,76
Arthur Jeffery,Booker High School,"Sarasota, FL",#61 DT,76
Nyshier Oliver,St. Peter's Prep,"Jersey City, NJ",#94 ATH,76
Ed Preston,Dickinson High School,"Dickinson, TX",#72 OG,76
Chase Griffiths,North Florida Christian High School,"Tallahassee, FL",#33 ILB,76
John McGhin,Florida High School,"Tallahassee, FL",#80 OG,76
Isaac Virgin,Fort Pierce Westwood High School,"Fort Pierce, FL",#91 ATH,76
Nick Allison,T. C. Roberson High School,"Asheville, NC",#82 OG,76
DeMario Bennett,Coffee High School,"Douglas, GA",#99 WR,76
Kolby Gray,Cypress Falls High School,"Houston, TX",#52 QB,76
Dan Mason,Penn Hills High School,"Pittsburgh, PA",#38 ILB,76
Jamaal Burrell,Dominguez High School,"Compton, CA",#70 OG,76
Josh Aladenoye,North Mesquite High School,"Mesquite, TX",#82 OG,76
Jake Golic,Northwest Catholic High School,"West Hartford, CT",#53 TE,76
Dan Fox,Saint Ignatius High School,"Cleveland, OH",#76 OLB,76
Hunter Furr,Mount Tabor High School,"Winston-Salem, NC",#92 RB,76
Josh McKie,Mauldin High School,"Mauldin, SC",#87 ATH,76
Jay Colbert,Neshaminy High School,"Langhorne, PA",#85 DE,76
Courtney Bridget,Dunbar High School,"Baltimore, MD",#119 S,76
Charles Childers,Bishop Gorman High School,"Las Vegas, NV",#100 S,76
Brent Qvale,Williston High School,"Williston, ND",#61 OT,76
C.J. Zimmerer,Daniel J. Gross High School,"Omaha, NE",#13 FB,76
Andrew Green,James Madison High School,"San Antonio, TX",#48 CB,76
Jeremiah Sirles,Bear Creek High School,"Denver, CO",#57 OT,76
Michael Sam,Hitchcock High School,"Hitchcock, TX",#75 DE,76
Kendial Lawrence,Rockwall-Heath High School,"Heath, TX",#100 RB,76
Adam  Burton,Lee's Summit West High School,"Lee's Summit, MO",#41 ILB,76
Alex Sanders,Glendale High School,"Springfield, MO",#44 TE,76
Ashton Glaser,Springdale High School,"Springdale, AR",#42 QB,76
T.J. Moe,Fort Zumwalt West High School,"O'Fallon, MO",#89 ATH,76
Kerwin Stricker,Washington High School,"Washington, MO",#101 WR,76
DeMarcus Knight,Morristown-Hamblen East High School,"Morristown, TN",#37 ILB,76
Ja-Mes Logan,Westfield High School,"Houston, TX",#87 WR,76
Jessie Grandy,Dollarway High School,"Pine Bluff, AR",#83 WR,76
Montez Phillips,Lafayette High School,"Oxford, MS",#90 WR,76
Marcus Berg,Fletcher Senior High School,"Neptune Beach, FL",#51 CB,76
Ryan Campbell,Carver High School,"Columbus, GA",#50 CB,76
Hasan Lipscomb,Cypress Ridge High School,"Houston, TX",#83 RB,76
Nick Rengel,Sartell High School,"Sartell, MN",#97 ATH,76
Jermaine Johnson,Hargrave Military Academy,"Fort Lauderdale, FL",OT(POST),76
Avery Graham,Clarksburg High School,"Clarksburg, MD",#116 S,76
Isaac Geffard,Northeast High School,"Oakland Park, FL",#75 OLB,76
Shenard Holton,Warren East High School,"Bowling Green, KY",#92 ATH,76
Jeremy Wright,East Ridge High School,"Clermont, FL",#93 RB,76
Hakeem Smith,Riverdale High School,"Riverdale, GA",#93 WR,76
Justin Anderson,Foley High School,"Foley, AL",#68 OLB,76
Sam Simpson,Henry Clay Senior High School,"Lexington, KY",#7 OC,76
Brian Adams,South Forsyth High School,"Cumming, GA",#90 ATH,76
Kevin Young,Olathe North High School,"Olathe, KS",#79 DE,76
Jordan Webb,Union High School,"Union, MO",#43 QB,76
Erick McGriff,Jesuit High School,"Tampa, FL",#105 WR,76
Brett Van Sloten,Decorah Com. Sr. High School,"Decorah, IA",#72 OT,76
Michael Buchanan,Homewood-Flossmoor High School,"Flossmoor, IL",#87 DE,76
Ty Cloud,Marcus High School,"Flower Mound, TX",#85 OG,76
Mike Osiecki,Seymour High School,"Seymour, CT",#42 ILB,76
Steve Greene,Bishop Carroll High School,"Ebensburg, PA",#59 OG,76
Everett Horne,North College Hill High School,"Cincinnati, OH",#86 ATH,76
Will Saddler,Columbus East High School,"Columbus, IN",#50 TE,76
Corey Ammons,Archbishop Carroll High School,"Miami, FL",#43 CB,76
Victor Gray,Dr. Phillips High School,"Orlando, FL",#86 DE,76
Nico Flores,North Miami Beach Senior High School,"North Miami Beach, FL",#50 QB,76
Sheldon Price,Bishop Amat High School,"La Puente, CA",#46 CB,76
Iuta Tepa,Long Beach Polytechnic High School,"Long Beach, CA",#78 DE,76
Charles Siddoway,Sheldon High School,"Eugene, OR",#60 OT,76
Isi Sofele,Cottonwood High School,"Salt Lake City, UT",#98 RB,76
Travis Swanson,Kingwood High School,"Kingwood, TX",#91 OG,76
Shauntez Bruce,Lincoln High School,"Tallahassee, FL",#58 OT,76
Jahron  Brown,East Paulding High School,"Dallas, GA",#14 FB,76
Alvin Bailey,Broken Arrow High School,"Broken Arrow, OK",#86 OG,76
Austin Tate,Harrison High School,"Harrison, AR",#49 TE,76
Brandon Mitchell,Amite High School,"Amite, LA",#40 QB,76
Kylan Butler,De La Salle High School,"Concord, CA",#100 RB,76
Jake Baratz,Naperville North High School,"Naperville, IL",#58 OT,76
Jack Baucus,Carmel Catholic High School,"Mundelein, IL",#46 TE,76
Amos Draper,Tanner High School,"Tanner, AL",#84 DE,76
Anthony Orr,Sparkman High School,"Harvest, AL",#82 DE,76
Gregory Pratt,Naples High School,"Naples, FL",#87 RB,76
Bradley Wallace,Dwyer High School,"Palm Beach Gardens, FL",#101 ATH,76
Rick Perez,South Dade High School,"Homestead, FL",#11 OC,76
Reid Fragel,South High School,"Grosse Pointe, MI",#48 TE,76
Kenneth Guiton,Aldine High School,"Houston, TX",#51 QB,76
Jonathan Newsome,Glenville High School,"Cleveland, OH",#70 DE,76
D.J. Johnson,Saint Stephen's Episcopal School,"Austin, TX",#104 S,76
James Dunbar,Maud High School,"Maud, TX",#59 DT,76
Waymon James,Sherman High School,"Sherman, TX",#87 RB,76
Kalvin Guyton,Lamar Consolidated High School,"Houston, TX",#96 RB,76
Malcolm  Johnson,Klein Collins High School,"Klein, TX",#71 OLB,76
Clinton Naron,Klein Oak High School,"Spring, TX",#77 OG,76
Sean Porter,Samuel Clemens High School,"Schertz, TX",#70 OLB,76
Aaron Afterburn,Rockwall High School,"Rockwall, TX",#77 OLB,76
Shamarko Thomas,Ocean Lakes High School,"Virginia Beach, VA",#94 S,76
Fitiseula Partsch,Ross Sterling High School,"Baytown, TX",#13 OC,76
Jordan Favreau,Coppell High School,"Coppell, TX",#74 OG,76
K.J. Vaifale,Corona Senior High School,"Corona, CA",#95 S,76
Eric Pinkins,Inderkum High School,"Sacramento, CA",#111 S,76
Anthony Miller,Carter High School,"Dallas, TX",#90 RB,76
Ronnie Hillman,La Habra High School,"La Habra, CA",#89 WR,76
Abdul Smith,Perkiomen School,"Pennsburg, PA",#121 S,76
Paul Carrezola,Neshaminy High School,"Langhorne, PA",#52 TE,76
Al-Terek McBurse,Winter Springs High School,"Winter Springs, FL",#86 RB,76
Najee Tyler,Xaverian High School,"Brooklyn, NY",#48 QB,76
Brandon Taylor,Dr. Krop High School,"Miami, FL",#58 DT,76
Jordan Hill,Steelton-Highspire High School,"Steelton, PA",#77 DE,76
Adam Gress,West Mifflin High School,"West Mifflin, PA",#70 OT,76
Christian Kuntz,Trinity High School,"Camp Hill, PA",#98 ATH,76
Michael Doctor,Booker T. Washington High School,"Tulsa, OK",#79 OLB,76
David Paulsen,Walton High School,"Marietta, GA",#82 DE,76
Tim Edmond,La Salle High School,"Cincinnati, OH",#15 FB,76
Brian Smith,Walsh Jesuit High School,"Cuyahoga Falls, OH",#62 OT,76
Roderick Goodlow,W. H. Adamson High,"Dallas, TX",#113 S,76
Mike Trumpy,Wheaton North High School,"Wheaton, IL",#102 RB,76
Tyrone Clark,Mehlville High School,"Saint Louis, MO",#88 S,76
Ryan Cheek,Lancaster High School,"Lancaster, OH",#34 ILB,76
Denzelle Good,Gaffney High School,"Gaffney, SC",#68 OT,76
Sylvester Crawford,Northside Christian Academy,"Charlotte, NC",#69 DE,76
Mardrecas Hood,Pickens County High School,"Reform, AL",#107 WR,76
Darius Slay,Brunswick High School,"Brunswick, GA",#109 S,76
Josh Walker,Rhea County High School,"Evensville, TN",#67 OG,76
Arthur Williams,Glenwood School,"Phenix City, AL",#102 WR,76
Jordan Johnson,Mill Creek High School,"Hoschton, GA",#53 OT,76
Justin Semmes,Saint Mary's Prep School,"Orchard Lake, MI",#12 FB,76
Cassetti Brown,Leesville High School,"Leesville, LA",#118 S,76
Lamin Barrow,John Ehret High School,"Marrero, LA",#82 OLB,76
Bennie Logan,Red River High School,"Coushatta, LA",#72 DE,76
Fabrice Pratt,Miami Sunset High School,"Miami, FL",#101 S,76
Torrell Miller,O. Perry Walker High School,"New Orleans, LA",#90 S,76
Beau Blankenship,Norman North High School,"Norman, OK",#84 RB,76
Jamonne Chester,Covenant High School,"Redford, MI",#105 WR,76
Dimitrius  Carr,Mount Carmel High School,"Chicago, IL",#78 OLB,76
Duwyce Wilson,Columbus East High School,"Columbus, IN",#83 WR,76
Carlton  Koonce,Rancocas Valley High,"Mount Holly, NJ",#94 RB,76
Blaine Burgess,Pickerington Central High School,"Pickerington, OH",#17 FB,76
Stephen Hill,Miller Grove High School,"Lithonia, GA",#90 WR,76
Jeremy Moore,Lyndon B. Johnson High School,"Austin, TX",#104 WR,76
Jay  Finch,Kennesaw Mountain High School,"Kennesaw, GA",#92 OG,76
Emanuel Dieke,North Clayton High School,"College Park, GA",#76 DE,76
Bryan Stork,Vero Beach Senior High School,"Vero Beach, FL",#45 TE,76
John Prior,Portsmouth High School,"Portsmouth, OH",#65 OT,76
Jajuan Harley,James S. Rickards High School,"Tallahassee, FL",#106 S,76
Henry Orelus,Glades Central High School,"Belle Glade, FL",#10 OC,76
Dan Hicks,Oxford High School,"Oxford, MS",#47 TE,76
Giancarlo Revilla,Miami Killian High School,"Miami, FL",#62 OG,76
Larvez Mars,Apopka High School,"Apopka, FL",#79 OLB,76
Rupert Bryan,Glades Central High School,"Belle Glade, FL",#64 OG,76
Ronnie Hamlin,Timberline High School,"Lacey, WA",#120 S,76
Torrance Hunt,Charles E. Jordan Senior H. S.,"Durham, NC",#44 CB,76
David Harding,Boone High School,"Orlando, FL",#58 OG,76
John Coleman,West Florence High School,"Florence, SC",#65 OT,76
Austin  Gamble,Cypress Bay High School,"Weston, FL",#35 ILB,76
Sydney Sarmiento,West Florence High School,"Florence, SC",#71 DE,76
Ezra Thompson,Lincoln-Way East High School,"Frankfort, IL",#98 S,76
Jonathan Meeks,Hargrave Military Academy,"Rock Hill, SC",S(POST),76
Brandon Thomas,Dorman High School,"Spartanburg, SC",#60 OG,76
Darrell Smith,Gadsden High School,"Gadsden, AL",#50 TE,76
Ronnie Kennedy,Saint Thomas Aquinas High School,"Fort Lauderdale, FL",#109 WR,76
Kyle Zelinsky,Bartlett High School,"Bartlett, IL",#79 OLB,76
Aunre' Davis,Warren Harding High School,"Bridgeport, CT",#94 ATH,76
Tim Moore,Mentor High School,"Mentor, OH",#112 S,76
Jordan Hopgood,Princeton High School,"Cincinnati, OH",#92 WR,76
Johnathan Coleman,Radnor High School,"Bronx, NY",#99 WR,76
Jonathan Brown,Encinal High School,"Alameda, CA",#97 S,76
Kirby Moore,Prosser High School,"Prosser, WA",#83 WR,76
Stefan Huber,Nederland High School,"Nederland, TX",#65 OG,76
Glasco Martin,Stony Point High School,"Round Rock, TX",#109 WR,76
Tevin Elliot,Mount Pleasant High School,"Mount Pleasant, TX",#73 OLB,76
Bryce Petty,Midlothian High School,"Midlothian, TX",#54 QB,76
Cyril Richardson,North Crowley High School,"Fort Worth, TX",#64 OT,76
John Sullen,Auburn High School,"Auburn, AL",#56 OT,76
Nick O'Quinn,Shiloh Christian School,"Springdale, AR",#57 DT,76
Cliff Mitchell,Jasper High School,"Jasper, TX",#78 OG,76
J.J. Holliday,Santa Rita High School,"Tucson, AZ",#94 WR,76
Cameron Marshall,Valley Christian High School,"San Jose, CA",#96 RB,76
Anthony Jones,Hamilton High School,"Chandler, AZ",#68 OLB,76
Wes Luquette,Isidore Newman School,"New Orleans, LA",#45 QB,76
Chad Phillips,Madison Central High School,"Madison, MS",#63 OG,76
Kevin Myles,Carver High School,"Atlanta, GA",#46 CB,76
Alex Bobel,Normandy High School,"Parma, OH",#89 OG,76
Deschion Baskerville,Fletcher Senior High School,"Neptune Beach, FL",#104 RB,76
Robert Shirriell,Crestwood High School,"Sumter, SC",#79 OG,76
Cody Hughes,Norman North High School,"Norman, OK",#71 OG,76
Noel Beckles,Verbum Dei High School,"Los Angeles, CA",#54 DT,76
David Lamb,Putnam City North High School,"Oklahoma City, OK",#88 OG,76
Rashad Hardy,Copperas Cove High School,"Copperas Cove, TX",#115 S,76
Guy Linder,Saint John the Baptist High School,"West Islip, NY",#53 OT,76
Cody Hammer,Fayetteville High School,"Fayetteville, AR",#10 FB,76
Bijon Samoodi,Servite High School,"Anaheim, CA",#45 CB,76
Xavier Ramos,Saint Bonaventure High School,"Ventura, CA",#104 S,76
Willie Kennedy,Ashbrook High School,"Gastonia, NC",#92 S,76
Alan Freeman,Wayne Memorial High School,"Wayne, MI",#107 S,76
Kevin Chandler,Mission Viejo High School,"Mission Viejo, CA",#83 WR,76
Nick Watts,Dinwiddie County Senior H. S.,"Dinwiddie, VA",#73 OG,76
Sini Tauauvea,Hunter High School,"West Valley City, UT",#90 OG,76
Josh Garvin,Bartow High School,"Bartow, FL",#82 OG,76
Dolapo Macarthy,Merrillville High School,"Merrillville, IN",#53 QB,76
Markell Lee,Corinth High School,"Corinth, MS",#74 DE,76
Keiron Wilson,Davidson High School,"Mobile, AL",#99 S,76
Jacob Danridge,Rialto High School,"Rialto, CA",#81 OG,76
Ake'vis Anderson,Hallandale High School,"Hallandale Beach, FL",#101 ATH,76
Winston Hines,Pulaski County High School,"Somerset, KY",#108 S,76
John Tabash,Saint Louis Priory School,"Saint Louis, MO",#68 OG,76
Gus Toca,Blue Springs High School,"Blue Springs, MO",#9 FB,76
Joe Coyne,Avon Lake High School,"Avon Lake, OH",#65 OG,76
Bubba Freeman,Cedar Shoals High School,"Athens, GA",#114 S,76
Joe Bonadies,Leonia High School,"Palisades Park, NJ",#12 OC,76
Chris Brown,Newbury Park High School,"Newbury Park, CA",#102 RB,76
Shaquille Tubman,Hastings High School,"Houston, TX",#96 WR,76
David Kraus,Desert Vista High School,"Phoenix, AZ",#75 OG,76
Cameron Tarver,Central Crossing High School,"Grove City, OH",#108 WR,76
Jeremy Gaston,East High School,"Rochester, NY",#69 OG,76
Josh Elizondo,Naples High School,"Naples, FL",#56 DT,76
Larry  Reed,East Gadsden High School,"Quincy, FL",#43 ILB,76
Ryan Miller,Blue Valley High School,"Stilwell, KS",#55 OT,76
Artrele Louis,A. L. Brown High School,"Kannapolis, NC",#89 RB,76
Tyresse Jones,Miami Northwestern High School,"Miami, FL",#95 RB,76
Clinton Simpkins,Chancellor High School,"Fredericksburg, VA",#80 DE,76
Marcus McNeal,Lakewood Ranch High School,"Bradenton, FL",#111 WR,76
Emmanuel Edouarzin,McEachern High School,"Powder Springs, GA",#72 OLB,76
Bret Gunn,Kiski Area Public High School,"Vandergrift, PA",#90 RB,76
Gannon Hulea,Poland Seminary High School,"Poland, OH",#85 ATH,76
Nathan Marvel,Plant Senior High School,"Tampa, FL",#98 WR,76
Sean Berman,Harvard Westlake High School,"North Hollywood, CA",#47 QB,76
Steven Sumpter,Edmond Santa Fe High School,"Edmond, OK",#95 S,76
Barrett Bailey,University Laboratory School,"Baton Rouge, LA",#46 QB,76
Rasheed Clements,East High School,"Rochester, NY",#15 FB,76
Ramone Beard,Booker T. Washington High School,"Tulsa, OK",#103 S,76
Billy Autrey,Columbus High School,"Columbus, MS",#9 OC,76
Joe Rippe,Carmel High School,"Carmel, IN",#109 S,76
Brandon Brown,Freehold High School,"Freehold, NJ",#111 WR,76
Corey Serrano,North Platte High School,"North Platte, NE",#105 RB,76
Ben Samson,Adlai E. Stevenson High School,"Lincolnshire, IL",#86 OT,75
Josh Hadel,Gladstone High School,"Gladstone, MI",#109 OG,75
Shawne Alston,Phoebus High School,"Hampton, VA",#110 RB,75
Jordan Weingart,Buchholz High School,"Gainesville, FL",#17 OC,75
Anthony  Carpenter,Serra High School,"Los Angeles, CA",#109 ATH,75
William Prescott,M. L. King High School,"Riverside, CA",#81 OT,75
Chris Mastin,Lewis & Clark High School,"Spokane, WA",#101 DE,75
Asi Hosea,Cottonwood High School,"Murray, UT",#134 S,75
Quayshawn Buckley,Colony High School,"Ontario, CA",#69 DT,75
Justin Jackson,Richmond Senior High School,"Rockingham, NC",#85 OLB,75
Matt Muncy,Tazewell High School,"Tazewell, VA",#118 ATH,75
Telvion Clark,Granby High School,"Norfolk, VA",#90 OLB,75
Brady Brown,Argyle High School,"Argyle, TX",#123 WR,75
Walker May,Briarwood Christian School,"Birmingham, AL",#93 OLB,75
Trey  Wilson,Evangel Christian Academy,"Shreveport, LA",#57 CB,75
T.J. Smith,Booker T. Washington High School,"Tulsa, OK",#63 TE,75
Pat Muldoon,Saint Xavier High School,"Cincinnati, OH",#95 DE,75
Keith Price,St. John Bosco High School,"Bellflower, CA",#120 ATH,75
Marlion Barnett,Santiago High School,"Corona, CA",#64 TE,75
Paul Freedman,Clearwater Central Catholic H. S.,"Clearwater, FL",#54 TE,75
Anthony Foster,Tulsa Union High School,"Tulsa, OK",#132 WR,75
Greg Brown,Bixby High School,"Bixby, OK",#60 TE,75
James Davidson,Huntsville High School,"Huntsville, TX",#128 S,75
Kadeem Wise,Berkmar High School,"Lilburn, GA",#55 CB,75
Montori Hughes,Siegel High School,"Murfreesboro, TN",DT(LQ),75
Jamie Collins,Franklin High School,"Meadville, MS",#108 ATH,75
Jonathan Guerry,New Hope High School,"Columbus, MS",#82 OT,75
Nathaniel Worrell,Pearl High School,"Pearl, MS",#100 OG,75
Jacoby Bell,D'Iberville High School,"D'Iberville, MS",#62 TE,75
Jerrion  Johnson,Perry Central High School,"New Augusta, MS",#128 S,75
Kevin Greene,Sacred Heart Cathedral Prep.,"San Francisco, CA",#107 DE,75
Steven Jacques,South Broward High School,"Hollywood, FL",#110 OG,75
Andrew Clifford,Wharton High School,"Tampa, FL",#57 QB,75
Corey Addison,Andrew Jackson High School,"Jacksonville, FL",#127 S,75
Jason  Hendricks,Hudson Catholic High School,"Jersey City, NJ",#125 ATH,75
Andrew Holland,Saint Ignatius High School,"Cleveland, OH",#64 QB,75
Anthony Anderson,Helix High School,"La Mesa, CA",#92 DE,75
Karrington Armstrong,McQueen High School,"Reno, NV",#116 OG,75
Marcus Trice,Mesquite High School,"Mesquite, TX",#52 CB,75
Demontre Hurst,Lancaster High School,"Lancaster, TX",#58 CB,75
Drew Allen,Alamo Heights High School,"San Antonio, TX",#58 QB,75
Jazmon Reynolds,Dwight D. Eisenhower High School,"Aldine, TX",#113 WR,75
A.J. Blue,Hargrave Military Academy,"Dallas, NC",QB(POST),75
D.J. Bunn,Smithfield-Selma Senior High,"Smithfield, NC",#140 S,75
Erik Highsmith,West Craven High School,"Vanceboro, NC",#118 ATH,75
Thaddeus Randle,North Shore High School,"Houston, TX",#71 DT,75
Taylor Martinez,Centennial High School,"Corona, CA",#106 ATH,75
Blaine Dalton,Blue Springs South High School,"Blue Springs, MO",#56 QB,75
Justin Britt,Lebanon High School,"Lebanon, MO",#74 OT,75
Andrew Wilson,Ray-Pec High School,"Peculiar, MO",#44 ILB,75
Emmanuel McCray,Forest Hill High School,"Jackson, MS",#84 OT,75
Mike Thomas,Saint Paul's Episcopal School,"Mobile, AL",#89 DE,75
Corey Gaines,Godby High School,"Tallahassee, FL",#64 DT,75
Evan Swindall,Lafayette High School,"Lafayette, AL",#112 OG,75
Terrell Grant,Cleveland High School,"Cleveland, MS",#111 ATH,75
Dan Orseske,Brother Rice High School,"Chicago, IL",#24 K,75
Malcolm Bunche,Newark High School,"Newark, DE",#87 OT,75
Jared Wheeler,American Heritage High School,"Plantation, FL",#113 OG,75
Eric Franklin,Archbishop Curley High School,"Baltimore, MD",#136 S,75
David Mackall,Edmondson-Westside High School,"Baltimore, MD",#105 DE,75
Lorne Goree,C. H. Flowers High School,"Springdale, MD",#92 OLB,75
Michael Cole,North Brunswick High School,"North Brunswick, NJ",#104 DE,75
Jacob Geffard,Northeast High School,"Oakland Park, FL",#83 OLB,75
Antonio Hoskins,Mississippi Elite Christian Academy,"Jackson, MS",OLB(LQ),75
Robert Walker,Mamou High School,"Mamou, LA",#113 RB,75
LaRod King,North Hardin High School,"Radcliff, KY",#115 WR,75
Justin Bean,Tupelo High School,"Tupelo, MS",#126 WR,75
Patrick Ligon,Christian Brothers High School,"Memphis, TN",#93 DE,75
Qua Huzzie,LaGrange High School,"LaGrange, GA",#88 OLB,75
Toben Opurum,Plano East Sr. High School,"Plano, TX",#124 ATH,75
Dexter Linton,Bowie High School,"Arlington, TX",#128 S,75
Brad Rogers,Central Catholic High School,"Toledo, OH",#107 RB,75
Eric Watts,Wolfson High School,"Jacksonville, FL",#85 OLB,75
Leon Hill,Leo High School,"Chicago, IL",#98 OG,75
Justin  Lattimore,Gaither High School,"Tampa, FL",#58 TE,75
A.J. Dugat,Dayton High School,"Dayton, TX",#113 ATH,75
